Patent Number,Title,Abstract
US - 29.09.2022,Migrating quantum services from quantum computing devices to quantum simulators,"Migration of quantum services from quantum computing devices to quantum simulators is disclosed herein. In one example, a quantum computing device executes a migration service that receives a system stress indicator from a system monitor that tracks a status of the quantum computing device and/or a status of qubits maintained by the quantum computing device. The migration service determines, based on the system stress indicator, that a quantum service running on the quantum computing device is to be migrated. Upon determining that the quantum service is to be migrated, the migration service retrieves a QASM file that contains quantum programming instructions defining the quantum service. The QASM file is then transmitted to a quantum simulator running on a classical computing device for failover execution. In some examples, the classical computing device then executes a simulated quantum service within the quantum simulator based on the QASM file."
CN - 11.07.2023,"Noise-containing machine learning model creation method, machine learning framework and related equipment","The invention discloses a noisy machine learning model creation method, a machine learning framework and related equipment, which are applied to an electronic device of the machine learning framework comprising a quantum module and a classic module, and the quantum module comprises a noisy quantum program packaging unit. The method comprises the following steps: creating a quantum program considering noise influence based on a quantum computing programming library contained in a machine learning framework; taking the quantum program as a parameter of a packaged noisy quantum computing layer interface, and transmitting the parameter into the noisy quantum computing layer interface; calling the noisy quantum program packaging unit to create a noisy quantum computing layer through the noisy quantum computing layer interface; and calling the classic module to create a machine learning model comprising the noisy quantum computing layer. The invention aims to create a machine learning model containing noise, so that a result simulated by the machine learning model on a quantum virtual machine is closer to a result calculated on a real quantum computer."
CN - 05.04.2022,"Authentication method based on quantum computing, computer device and storage medium","The invention discloses an authentication method based on quantum computing, a computer device and a storage medium, and the authentication method based on quantum computing comprises the steps: sending a first computing request to a quantum computing module, triggering the quantum computing module to generate an authentication parameter through quantum computing, receiving the authentication parameter returned by the quantum computing module, and sending the authentication parameter to a server; sending the authentication parameter to the user terminal, triggering the user terminal to carry out user side authentication according to the authentication parameter, and carrying out network side authentication on the user terminal according to the authentication parameter. The quantum computing module is introduced to generate the authentication parameters, the authentication parameters have the advantages of being difficult to crack, good in confidentiality and the like, so that the possibilities that the authentication data is cracked or eavesdropped and copied, the user terminal is pretended, the authentication process is invalid and the like can be reduced, the authentication parameters have the characteristic that the bit error rate is increased after eavesdropped, and the authentication efficiency is improved. The core network can judge whether the communication between the core network and the user terminal is eavesdropped or not, so that the communication security is improved. The method is widely applied to the technical field of network authentication."
CN - 09.04.2024,Fusion computing method and system for high-performance computing power and quantum computing power of cloud platform,"The invention relates to a fusion computing method and system for high-performance computing power and quantum computing power of a cloud platform, and belongs to the technical field of quantum computation.The method comprises the steps that a quantum program is submitted in a quantum virtual machine through a classical computer interface; the method comprises the following steps: carrying out preliminary classical-quantum task splitting through a compiler to obtain a plurality of calculation sub-tasks; a communication original call is inserted in front of the calculation sub-task needing to be remotely called, the corresponding quantum calculation sub-task is distributed to a quantum calculation rear end through the communication original call, and the corresponding classical calculation sub-task is distributed to a high-performance computing power cluster; partially executing the classic computing subtasks locally, and remotely calling the classic computing subtasks which need to be completed by a high-performance computing power cluster and the quantum computing subtasks which need to be completed by a quantum computing rear end through RoCE communication; and receiving a classic computing sub-task completed by the high-performance computing power cluster and a quantum computing sub-task completed by the quantum computing rear end through a resource scheduler."
CN - 26.04.2024,Quantum computing architecture of multi-layer structure,"The invention discloses a quantum computing architecture with a multi-layer structure, which is particularly suitable for various quantum computing physical systems such as cold atom quantum bits and superconducting quantum bits. According to the architecture, a maneuvering entanglement layer and a mediation bit layer are introduced, and high-fidelity entanglement between a physical bit layer and the mediation bit layer is realized through a two-bit logic gate and a multi-bit logic gate which are based on waveform modulation pulses and have a quantum bit actual property self-adaptive process. In a cold atom quantum computing system, quantum information damage possibly caused by direct movement of physical bits is avoided by utilizing a mode of mechanically moving the intermediary bits, entanglement between long-distance quantum bits is effectively realized, and in a superconducting quantum computing system, the quantum information can be effectively acquired by utilizing a mode of transferring entanglement by the intermediary bits. The method solves the problem of bandwidth limitation caused by coupling bits through resonant cavities, is a multi-level and highly flexible quantum computing architecture, and is of great significance for realizing an extensible quantum computing platform."
US - 14.11.2024,SYSTEM AND METHOD OF IN-QUEUE OPTIMIZATIONS FOR QUANTUM CLOUD COMPUTING,"A quantum computing system providing quantum processing as a service includes a quantum computing device and a server including at least one classical processor. The server is configured to: create a first job queue that includes a plurality of jobs configured to be executed on the first quantum computing device; receive, from a client device, a request for execution of a quantum program; add a first job entry to the first job queue for the request, the first job entry includes a quantum circuit for a first job; perform an optimization process on the quantum circuit of the first job; transmit the updated quantum circuit to the first quantum computing device for execution by the first quantum computing device using the plurality of qubits; receive, from the quantum computing device, execution results from the execution of the updated quantum circuit; and transmit the execution results to the client device."
WO - 03.11.2022,WO/2022/231846SYSTEM AND METHOD OF IN-QUEUE OPTIMIZATIONS FOR QUANTUM CLOUD COMPUTING,"A quantum computing system providing quantum processing as a service includes a quantum computing device and a server including at least one classical processor. The server is configured to: create a first job queue that includes a plurality of jobs configured to be executed on the first quantum computing device; receive, from a client device, a request for execution of a quantum program; add a first job entry to the first job queue for the request, the first job entry includes a quantum circuit for a first job; perform an optimization process on the quantum circuit of the first job; transmit the updated quantum circuit to the first quantum computing device for execution by the first quantum computing device using the plurality of qubits; receive, from the quantum computing device, execution results from the execution of the updated quantum circuit; and transmit the execution results to the client device."
CN - 03.01.2023,"Quantum computer scheduling method, device and equipment and readable medium","The invention provides a quantum computer scheduling method, device and equipment and a readable medium, and the method comprises the steps: setting each quantum computing real machine as a quantum computing real machine execution node, and setting each analog machine as a quantum computing analog machine execution node; submitting quantum experiment information data to be executed to a cloud platform, and dividing the submitted data into two theme messages of a real machine and an analog machine; issuing the theme message to a Kafka message queue; and the quantum computing real machine execution node and the quantum computing simulator execution node obtain the quantum experiment task supported by the execution node in the Kafka message queue according to the execution node type, and execute the obtained quantum experiment task. By using the scheme of the invention, the hybrid scheduling of the quantum computing real machine and the analog machine can be realized, and the processing speed of the experiment task can be improved."
US - 13.06.2024,QUANTUM SERVICE CIRCUIT BREAKER,"A quantum computing device determines a plurality of quantum services executing on one or more quantum computing systems. The quantum computing device accesses a dependency map identifying dependency relationships between the plurality of quantum services. The quantum computing device determines computing resource sensitivities for at least some quantum services of the plurality of quantum services. The quantum computing device determines based on the computing resource sensitivities for a quantum service from among the plurality of quantum services that the quantum service exceeds a computing resource sensitivity threshold for the quantum service. The quantum computing device, in response to determining that the quantum service exceeds the computing resource sensitivity threshold, initiates an action based on priority rules."
CN - 06.06.2023,Quantum computing device with temperature measurement function,"The invention relates to the technical field of quantum computing, in particular to a quantum computing device with a temperature measurement function. The embodiment of the invention provides a quantum computing device with a temperature measuring function. The quantum computing device comprises a quantum chip, a shell, a low-temperature fluid pipeline and a temperature measuring device, the low-temperature fluid pipeline penetrates through the shell, and low-temperature fluid circulates in the low-temperature fluid pipeline to provide a low-temperature environment for the quantum chip; the temperature measuring device comprises a superconducting temperature measuring part, a wire part, a power supply, an ampere meter, a voltmeter and a display part, the superconducting temperature measuring part is attached to the quantum chip, the superconducting temperature measuring part is connected with the power supply through the wire part to form a circuit, the ampere meter is used for measuring the current of the circuit, the voltmeter is used for measuring the voltage of the circuit, and the display part is used for collecting the resistance of the circuit in real time. And whether the temperature of the quantum chip is in a safe interval is displayed according to the resistance of the circuit. The embodiment of the invention provides a quantum computing device with a temperature measurement function. The quantum computing device can monitor the environment temperature of a quantum chip."
US - 28.12.2023,QUANTUM ACCURACY SCORE,"One example method includes receiving job configuration information from a user with a quantum computing job to be performed, receiving quantum computing information from a quantum computing service vendor, generating, based on the quantum computing information, a vendor score for the quantum computing service vendor, and transmitting the vendor score to the user. The quantum computing information received from the quantum computing service vendor may include information about an accuracy of results produced by execution of a quantum circuit or other quantum hardware operated by the quantum computing service vendor."
CN - 13.06.2023,Visual presentation of quantum classical interface in user experience,The invention relates to visual presentation of a quantum classical interface in a user experience. A quantum computing interface system is provided. The system presents a classic computing user interface (UI) element to represent a classic computing domain. The appearance of the change of the classic computing UI element indicates a classic domain event occurring in the classic computing domain. The system presents a quantum computing UI element to represent a quantum computing domain. The appearance of the change of the quantum computing UI element indicates a quantum domain event occurring in the quantum computing domain. The system presents a data connection UI element to represent a data connection between a classic computing domain and a quantum computing domain. The appearance of the change of the data connection UI element indicates a data flow event associated with a data conversion between the classic computing domain and the quantum computing domain.
CN - 25.04.2023,Storage area QoS distribution system based on quantum computing,"The invention discloses a storage area QoS distribution system based on quantum computing, a cloud host, a QKDN and a plurality of quantum computing device network elements are applied, and the cloud host verifies the identities of the quantum computing device network elements; if the verification is passed, allocating system resources to the quantum computing device network element, and allocating a cloud storage area space to the quantum computing device network element in the cloud host; dividing the cloud storage area space into a plurality of independent memory spaces according to service modules of the quantum computing equipment network element, wherein each service module corresponds to one independent memory space; performing traffic limitation on each service module through a double-speed double-bucket token bucket, and setting the same CIR rate and token bucket capacity of a CBS bucket and an EBS bucket for each service module; and the token bucket parameters carry out adaptive dynamic adjustment on each independent service module according to the actual service volume. According to the invention, the QoS strategy is set according to different service types and module conditions, and the service quality of the QKDN is ensured."
WO - 30.11.2023,"WO/2023/228312QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING SYSTEM, QUANTUM COMPUTING METHOD, AND PROGRAM","This quantum computing device in a quantum computing system where a plurality of quantum computing devices connected to a network perform quantum secret calculations in cooperation with one another comprises: a sharing unit that applies double encoding to an input quantum state with a triply-even CSS quantum error correction code, and shares the encoded information obtained through encoding with other quantum computing devices; a verification unit that verifies whether the encoded information is correctly encoded; a computation unit that applies a quantum circuit to the encoded information; and a reconstruction unit that acquires an output quantum state that is the result of applying the quantum circuit to the input quantum state."
